circlename,regionname,divisionname,officename,pincode,officetype,delivery,district,statename,latitude,longitude
Uttar Pradesh Circle,Prayagraj Regional Office,Mirzapur Division,Nai Bazar BO,231216,BO,Delivery,SONBHADRA,UTTAR PRADESH,24.671655,83.145518
Uttar Pradesh Circle,Prayagraj Regional Office,Mirzapur Division,Narokhar BO,231216,BO,Delivery,SONBHADRA,UTTAR PRADESH,26.105623,83.544548
Uttar Pradesh Circle,Prayagraj Regional Office,Mirzapur Division,Siddhi Kala BO,231216,BO,Delivery,SONBHADRA,UTTAR PRADESH,24.640399,83.136086
Uttar Pradesh Circle,Prayagraj Regional Office,Mirzapur Division,Amauli B.O,231216,BO,Delivery,SONBHADRA,UTTAR PRADESH,24.663249,83.020756000000006
Uttar Pradesh Circle,Prayagraj Regional Office,Mirzapur Division,Lorhi B.O,231216,BO,Delivery,SONBHADRA,UTTAR PRADESH,24.662461,83.048580000000001
Uttar Pradesh Circle,Prayagraj Regional Office,Mirzapur Division,Mau Kala B.O,231216,BO,Delivery,SONBHADRA,UTTAR PRADESH,24.597297000000001,83.187254999999993
Uttar Pradesh Circle,Prayagraj Regional Office,Mirzapur Division,Umari Kala B.O,231216,BO,Delivery,SONBHADRA,UTTAR PRADESH,24.749635000000001,82.970087000000007
Uttar Pradesh Circle,Prayagraj Regional Office,Mirzapur Division,Yogichaura BO,231222,BO,Delivery,SONBHADRA,UTTAR PRADESH,24.118177,82.728928
Uttar Pradesh Circle,Prayagraj Regional Office,Mirzapur Division,Bagahan BO,231306,BO,Delivery,MIRZAPUR,UTTAR PRADESH,25.170866,82.806251
Uttar Pradesh Circle,Prayagraj Regional Office,Mirzapur Division,Banvasi Seva Ashram BO,231221,BO,Delivery,SONBHADRA,UTTAR PRADESH,24.40059,82.85656
Uttar Pradesh Circle,Prayagraj Regional Office,Mirzapur Division,Samogara BO,231307,BO,Delivery,MIRZAPUR,UTTAR PRADESH,25.164843,82.506702
Uttar Pradesh Circle,Prayagraj Regional Office,Mirzapur Division,Barji Mukundpur B.O,231307,BO,Delivery,SONBHADRA,UTTAR PRADESH,NA,NA
Uttar Pradesh Circle,Prayagraj Regional Office,Mirzapur Division,Bagesoti BO,231226,BO,Delivery,SONBHADRA,UTTAR PRADESH,24.260337,83.393406
Uttar Pradesh Circle,Prayagraj Regional Office,Mirzapur Division,Chachikalan BO,231226,BO,Delivery,SONBHADRA,UTTAR PRADESH,24.290601,83.32351
Uttar Pradesh Circle,Prayagraj Regional Office,Mirzapur Division,Dhuma BO,231226,BO,Delivery,SONBHADRA,UTTAR PRADESH,24.252629,83.381905
Uttar Pradesh Circle,Prayagraj Regional Office,Mirzapur Division,Kewal BO,231226,BO,Delivery,SONBHADRA,UTTAR PRADESH,24.262693,83.391075
Uttar Pradesh Circle,Prayagraj Regional Office,Mirzapur Division,Kone BO,231226,BO,Delivery,SONBHADRA,UTTAR PRADESH,24.422898,83.349712
Uttar Pradesh Circle,Prayagraj Regional Office,Mirzapur Division,Rorwan BO,231226,BO,Delivery,SONBHADRA,UTTAR PRADESH,24.282942,83.406581
Uttar Pradesh Circle,Prayagraj Regional Office,Mirzapur Division,Harana Kachhaar B.O,231226,BO,Delivery,SONBHADRA,UTTAR PRADESH,24.251228999999999,83.365829000000005
Uttar Pradesh Circle,Prayagraj Regional Office,Mirzapur Division,Jorukhad B.O,231226,BO,Delivery,SONBHADRA,UTTAR PRADESH,24.242875999999999,83.328215
Uttar Pradesh Circle,Prayagraj Regional Office,Mirzapur Division,Khempur B.O,231226,BO,Delivery,SONBHADRA,UTTAR PRADESH,24.436737999999998,83.340631000000002
Uttar Pradesh Circle,Prayagraj Regional Office,Mirzapur Division,Nigai B.O,231226,BO,Delivery,SONBHADRA,UTTAR PRADESH,24.431073000000001,83.347649000000004
Uttar Pradesh Circle,Prayagraj Regional Office,Pratapgarh Division,Pooranpur Khajoor BO,230144,BO,Delivery,PRATAPGARH,UTTAR PRADESH,25.887,81.832
Uttar Pradesh Circle,Prayagraj Regional Office,Pratapgarh Division,Rendveer BO,230144,BO,Delivery,PRATAPGARH,UTTAR PRADESH,21.025,81.05
Uttar Pradesh Circle,Prayagraj Regional Office,Pratapgarh Division,Bhanaipur BO,230124,BO,Delivery,PRATAPGARH,UTTAR PRADESH,21.3335,81.0202
Uttar Pradesh Circle,Prayagraj Regional Office,Pratapgarh Division,Kabirpur BO,230124,BO,Delivery,PRATAPGARH,UTTAR PRADESH,21.10254,81.1245
Uttar Pradesh Circle,Prayagraj Regional Office,Pratapgarh Division,Umari BO,230501,BO,Delivery,PRATAPGARH,UTTAR PRADESH,21.5432445,81.2332446
Uttar Pradesh Circle,Prayagraj Regional Office,Pratapgarh Division,Amawan BO,230125,BO,Delivery,PRATAPGARH,UTTAR PRADESH,21.4443254,81.64545
Uttar Pradesh Circle,Prayagraj Regional Office,Pratapgarh Division,Gujwar BO,230143,BO,Delivery,PRATAPGARH,UTTAR PRADESH,21.05563,81.36258
Uttar Pradesh Circle,Prayagraj Regional Office,Pratapgarh Division,Purmeisultanpur BO,230143,BO,Delivery,PRATAPGARH,UTTAR PRADESH,21.05565,81.3626
Uttar Pradesh Circle,Prayagraj Regional Office,Pratapgarh Division,Bihar BO,230201,BO,Delivery,PRATAPGARH,UTTAR PRADESH,21.05567,81.36262
Uttar Pradesh Circle,Bareilly Region,Bareilly Division,Jahanabad BO,262001,BO,Delivery,PILIBHIT,UTTAR PRADESH,28.632186999999998,79.802977999999996
Uttar Pradesh Circle,Prayagraj Regional Office,Pratapgarh Division,Deokali BO,230405,BO,Delivery,PRATAPGARH,UTTAR PRADESH,21.46546,81.5648
Uttar Pradesh Circle,Prayagraj Regional Office,Pratapgarh Division,Pure Gajai BO,230128,BO,Delivery,PRATAPGARH,UTTAR PRADESH,21.2546,81.5469
Uttar Pradesh Circle,Prayagraj Regional Office,Pratapgarh Division,Bajha Bheet BO,230202,BO,Delivery,PRATAPGARH,UTTAR PRADESH,21.2584,81.3654
Uttar Pradesh Circle,Prayagraj Regional Office,Pratapgarh Division,Jhonkwara BO,229408,BO,Delivery,PRATAPGARH,UTTAR PRADESH,21.28512,81.152
Uttar Pradesh Circle,Prayagraj Regional Office,Pratapgarh Division,Lat Tara BO,230202,BO,Delivery,PRATAPGARH,UTTAR PRADESH,21.2548,81.647
Uttar Pradesh Circle,Prayagraj Regional Office,Pratapgarh Division,Mahamdapur BO,230502,BO,Delivery,PRATAPGARH,UTTAR PRADESH,21.4548,81.3654
Uttar Pradesh Circle,Prayagraj Regional Office,Pratapgarh Division,Pure Madhosingh BO,230502,BO,Delivery,PRATAPGARH,UTTAR PRADESH,21.4548,81.3654
Uttar Pradesh Circle,Prayagraj Regional Office,Pratapgarh Division,Bhojemau BO,230301,BO,Delivery,PRATAPGARH,UTTAR PRADESH,21.651818,81.516516
Uttar Pradesh Circle,Prayagraj Regional Office,Pratapgarh Division,Kahla BO,230301,BO,Delivery,PRATAPGARH,UTTAR PRADESH,21.5124545,81.5056152
Uttar Pradesh Circle,Prayagraj Regional Office,Pratapgarh Division,Silaundhi BO,230301,BO,Delivery,PRATAPGARH,UTTAR PRADESH,21.5152158,81.5612542
Uttar Pradesh Circle,Prayagraj Regional Office,Pratapgarh Division,Kamolibirbhanpur BO,230129,BO,Delivery,PRATAPGARH,UTTAR PRADESH,21.7776554,81.8787
Uttar Pradesh Circle,Prayagraj Regional Office,Pratapgarh Division,Newadi BO,230129,BO,Delivery,PRATAPGARH,UTTAR PRADESH,21.658774,81.87777
Uttar Pradesh Circle,Prayagraj Regional Office,Pratapgarh Division,Chhatarpur BO,230503,BO,Delivery,PRATAPGARH,UTTAR PRADESH,25.35145,80.35446
Uttar Pradesh Circle,Prayagraj Regional Office,Pratapgarh Division,Dharauli BO,230503,BO,Delivery,PRATAPGARH,UTTAR PRADESH,21.57877,81.4685526
Uttar Pradesh Circle,Prayagraj Regional Office,Pratapgarh Division,Katehati BO,230503,BO,Delivery,PRATAPGARH,UTTAR PRADESH,21.54165,81.54263
Uttar Pradesh Circle,Prayagraj Regional Office,Pratapgarh Division,Pure Newal BO,230503,BO,Delivery,PRATAPGARH,UTTAR PRADESH,21.541,81.5641
Uttar Pradesh Circle,Prayagraj Regional Office,Pratapgarh Division,Basupur BO,230401,BO,Delivery,PRATAPGARH,UTTAR PRADESH,21.222,81.222
Uttar Pradesh Circle,Prayagraj Regional Office,Pratapgarh Division,Parasrampur BO,230401,BO,Delivery,PRATAPGARH,UTTAR PRADESH,21.2548,81.3654
Uttar Pradesh Circle,Prayagraj Regional Office,Pratapgarh Division,Sarai Shankar BO,230401,BO,Delivery,PRATAPGARH,UTTAR PRADESH,21.2654,81.26457
Uttar Pradesh Circle,Prayagraj Regional Office,Pratapgarh Division,Shahpur BO,230401,BO,Delivery,PRATAPGARH,UTTAR PRADESH,NA,NA
Uttar Pradesh Circle,Prayagraj Regional Office,Pratapgarh Division,Baswahi BO,230204,BO,Delivery,PRATAPGARH,UTTAR PRADESH,21.4548,81.3654
Uttar Pradesh Circle,Prayagraj Regional Office,Pratapgarh Division,Bedhan Gopalpur BO,230204,BO,Delivery,PRATAPGARH,UTTAR PRADESH,21.4548,81.3654
Uttar Pradesh Circle,Prayagraj Regional Office,Pratapgarh Division,Jhingur BO,230204,BO,Delivery,PRATAPGARH,UTTAR PRADESH,21.4548,81.3654
Uttar Pradesh Circle,Prayagraj Regional Office,Pratapgarh Division,Karenti BO,230204,BO,Delivery,PRATAPGARH,UTTAR PRADESH,21.4548,81.3654
Uttar Pradesh Circle,Prayagraj Regional Office,Pratapgarh Division,Khemipur BO,230204,BO,Delivery,PRATAPGARH,UTTAR PRADESH,21.4548,81.3654
Uttar Pradesh Circle,Prayagraj Regional Office,Pratapgarh Division,Majhilgaon BO,230204,BO,Delivery,PRATAPGARH,UTTAR PRADESH,21.4548,81.3654
Uttar Pradesh Circle,Prayagraj Regional Office,Pratapgarh Division,Asrahi BO,230132,BO,Delivery,PRATAPGARH,UTTAR PRADESH,21.4548,81.3654
Uttar Pradesh Circle,Prayagraj Regional Office,Pratapgarh Division,Belha BO,230132,BO,Delivery,PRATAPGARH,UTTAR PRADESH,21.4548,81.3654
Uttar Pradesh Circle,Prayagraj Regional Office,Pratapgarh Division,Kanpa BO,230403,BO,Delivery,PRATAPGARH,UTTAR PRADESH,21.564685,81.95
Uttar Pradesh Circle,Prayagraj Regional Office,Pratapgarh Division,Salhipur BO,230403,BO,Delivery,PRATAPGARH,UTTAR PRADESH,21.052,81.6854
Uttar Pradesh Circle,Prayagraj Regional Office,Pratapgarh Division,Harakhpur BO,230402,BO,Delivery,PRATAPGARH,UTTAR PRADESH,21.2546,81.647
Uttar Pradesh Circle,Prayagraj Regional Office,Pratapgarh Division,Sarai Murar Singh BO,230402,BO,Delivery,PRATAPGARH,UTTAR PRADESH,21.222,81.647
Uttar Pradesh Circle,Prayagraj Regional Office,Pratapgarh Division,Bahuta BO,230135,BO,Delivery,PRATAPGARH,UTTAR PRADESH,21.362514,81.362514
Uttar Pradesh Circle,Prayagraj Regional Office,Pratapgarh Division,Fatehpur BO,230135,BO,Delivery,PRATAPGARH,UTTAR PRADESH,21.4321,81.4321
Uttar Pradesh Circle,Prayagraj Regional Office,Pratapgarh Division,Kansapatti BO,230135,BO,Delivery,PRATAPGARH,UTTAR PRADESH,21.5614,81.5614
Uttar Pradesh Circle,Prayagraj Regional Office,Pratapgarh Division,Muzahi Bazar BO,230135,BO,Delivery,PRATAPGARH,UTTAR PRADESH,21.52625,81.52625
Uttar Pradesh Circle,Prayagraj Regional Office,Pratapgarh Division,Pandri Mustarka BO,230135,BO,Delivery,PRATAPGARH,UTTAR PRADESH,21.6145,81.6145
Uttar Pradesh Circle,Prayagraj Regional Office,Pratapgarh Division,Rendi Garapur BO,230135,BO,Delivery,PRATAPGARH,UTTAR PRADESH,21.6541,81.6541
Uttar Pradesh Circle,Prayagraj Regional Office,Pratapgarh Division,Dherehana BO,230002,BO,Delivery,PRATAPGARH,UTTAR PRADESH,21.85489,81.2465879
Uttar Pradesh Circle,Prayagraj Regional Office,Pratapgarh Division,Mirzapur BO,230304,BO,Delivery,PRATAPGARH,UTTAR PRADESH,21.5128,81.65156
Uttar Pradesh Circle,Prayagraj Regional Office,Pratapgarh Division,Pure Gosain BO,230304,BO,Delivery,PRATAPGARH,UTTAR PRADESH,21.515,81.6526
Uttar Pradesh Circle,Prayagraj Regional Office,Pratapgarh Division,Sansarpur BO,230304,BO,Delivery,PRATAPGARH,UTTAR PRADESH,21.518524,81.529822
Uttar Pradesh Circle,Prayagraj Regional Office,Pratapgarh Division,Sipah Maheri BO,230304,BO,Delivery,PRATAPGARH,UTTAR PRADESH,21.00424,81.525125
Uttar Pradesh Circle,Prayagraj Regional Office,Pratapgarh Division,Handaur BO,230136,BO,Delivery,PRATAPGARH,UTTAR PRADESH,21.4548,81.3654
Uttar Pradesh Circle,Prayagraj Regional Office,Pratapgarh Division,Kataiya BO,230137,BO,Delivery,PRATAPGARH,UTTAR PRADESH,21.012456,81.21456
Uttar Pradesh Circle,Prayagraj Regional Office,Pratapgarh Division,Labeda BO,230138,BO,Delivery,PRATAPGARH,UTTAR PRADESH,21.4548,81.3654
Uttar Pradesh Circle,Prayagraj Regional Office,Pratapgarh Division,Ami BO,230139,BO,Delivery,PRATAPGARH,UTTAR PRADESH,21.4548,81.3654
Uttar Pradesh Circle,Prayagraj Regional Office,Pratapgarh Division,Ramapur BO,230141,BO,Delivery,PRATAPGARH,UTTAR PRADESH,21.2546,81.647
Uttar Pradesh Circle,Prayagraj Regional Office,Pratapgarh Division,Sarai Bhimsen BO,230142,BO,Delivery,PRATAPGARH,UTTAR PRADESH,21.2654,81.647
Uttar Pradesh Circle,Prayagraj Regional Office,Pratapgarh Division,Kailidih BO,230306,BO,Delivery,PRATAPGARH,UTTAR PRADESH,21.65456,81.35462
Uttar Pradesh Circle,Prayagraj Regional Office,Pratapgarh Division,Narainpur Kalan BO,230306,BO,Delivery,PRATAPGARH,UTTAR PRADESH,21.65456,81.35462
Uttar Pradesh Circle,Prayagraj Regional Office,Pratapgarh Division,Surwa Mishirpur BO,230306,BO,Delivery,PRATAPGARH,UTTAR PRADESH,21.515,81.541
Uttar Pradesh Circle,Prayagraj Regional Office,Pratapgarh Division,Sarai Raja BO,230404,BO,Delivery,PRATAPGARH,UTTAR PRADESH,21.545,81.5112
Uttar Pradesh Circle,Prayagraj Regional Office,Pratapgarh Division,Besar BO,230133,BO,Delivery,PRATAPGARH,UTTAR PRADESH,25.8973038,81.9452981
Uttar Pradesh Circle,Varanasi Region,Jaunpur Division,Bhagwanpur BO,222145,BO,Delivery,JAUNPUR,UTTAR PRADESH,25.8253,82.2466
Uttar Pradesh Circle,Varanasi Region,Varanasi East Division,Dhaneja BO,232102,BO,Delivery,CHANDAULI,UTTAR PRADESH,25.31877,83.119
Uttar Pradesh Circle,Varanasi Region,Varanasi East Division,Gauri BO,232102,BO,Delivery,CHANDAULI,UTTAR PRADESH,25.31877,83.01285
